Date,Enhancement_ppm,Latitude,Longitude,Level,wd_corr,ws_corr
2019-07-23 14:27:06.500,0.03,43.66068166666667,-79.40000500000002,1,71.4,0.5
2019-07-23 14:42:21.500,0.04,43.66761333333334,-79.39819166666666,1,267.1,1.4
2019-07-23 14:46:39.500,0.02,43.670225,-79.38806333333333,0,49.3,1.1
2019-07-23 14:47:10.500,0.03,43.67047166666666,-79.387095,0,258.9,2.1
2019-07-23 14:48:38.500,0.06,43.67085666666666,-79.38549499999998,1,330.3,0.8
2019-07-23 14:48:46.500,0.05,43.67091,-79.38499166666666,1,13.9,0.7
2019-07-23 15:00:20.600,0.09,43.677946666666664,-79.34994833333333,1,287.4,0.6
2019-07-23 15:17:51.600,0.04,43.69955833333334,-79.32073333333334,1,45.3,1.3
2019-07-23 15:22:21.700,0.04,43.69573166666667,-79.32995166666667,1,279.4,0.6
2019-07-23 15:53:51.900,0.04,43.69758166666666,-79.30257166666667,1,226.3,0.3
2019-07-23 15:53:56.900,0.05,43.69759000000001,-79.30257666666667,1,192.6,0.4
2019-07-23 15:56:49.900,0.07,43.69781166666667,-79.30329,1,262.4,0.8
2019-07-23 15:58:48.900,0.05,43.69929166666667,-79.31002166666667,1,305.9,1.0
2019-07-23 16:00:50.900,0.02,43.700205,-79.311725,0,151.2,0.7
2019-07-23 16:24:29.000,0.08,43.69760333333333,-79.30259166666667,1,13.7,1.4
2019-07-23 16:33:03.000,0.03,43.69383166666667,-79.31161999999998,0,62.9,0.8
2019-07-23 16:41:03.100,0.13,43.69284833333333,-79.32303,3,244.1,0.8
2019-07-23 16:51:09.100,0.08,43.68806833333333,-79.34541833333333,1,171.0,2.7
2019-07-23 17:00:13.100,0.14,43.69031,-79.32757166666667,2,273.0,2.1
2019-07-23 17:06:18.200,0.04,43.69055333333333,-79.317665,0,219.9,2.0
2019-07-23 17:30:00.300,0.08,43.685179999999995,-79.31936333333333,1,219.6,1.2
2019-07-23 17:32:47.300,0.06,43.68317333333334,-79.32868666666667,1,253.7,1.9
2019-07-23 17:34:55.300,0.05,43.68181666666667,-79.33495833333333,1,226.4,1.4
2019-07-23 17:35:34.300,0.04,43.68140166666666,-79.33704333333333,1,272.6,0.9
2019-07-23 17:40:33.300,0.05,43.67582666666666,-79.34384333333334,1,156.2,1.9
2019-07-23 17:43:39.300,0.1,43.66847833333333,-79.34321166666666,1,170.8,1.9
2019-07-23 17:46:54.300,0.07,43.66638333333334,-79.35202666666666,1,208.9,2.0
2019-07-23 17:52:50.300,0.06,43.662,-79.36718833333333,1,262.0,3.6
2019-07-23 18:00:22.400,0.42,43.658395,-79.383285,2,14.6,0.2
2019-07-23 18:02:27.400,0.04,43.65799333333333,-79.38621833333333,0,7.5,1.6
2019-07-23 18:02:46.400,0.03,43.65835666666667,-79.38654,0,215.1,1.6
2019-07-23 18:05:08.400,0.04,43.659684999999996,-79.39017,1,250.3,0.8
